# run 1
CHANGE	eras/age_V/annals/age_V_01.json:EV-1007.body	the bridge at Cathair dhearg	->	Drochaid Cathair dhearg	|	 sent up by Pike, comes to the smiths' lane below the bridge at Cathair dhearg and works through the autumn 
CHANGE	eras/age_V/book/29_of_the_night_shift.md:73	the Company's	->	A' Chompanaidh's	|	hed. In am Màrt of the hundred and twentieth year the Company's iron road opened from the pit
CHANGE	eras/age_V/book/29_of_the_night_shift.md:75	the coal line	->	Slighe a' Ghuail	|	 the iron chariot, and calling the road it ran on the coal line, and both names outlasted eve
CHANGE	eras/age_V/book/29_of_the_night_shift.md:75	the Company's	->	A' Chompanaidh's	|	he coal line, and both names outlasted every name the Company's own letter-book ever gave eit
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:13	the Residency's	->	Taigh an Àrd-mhaoir's	|	loft anything they wished to be certain of, since the Residency's writ did not reach into an ol
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:23	the Residency	->	Taigh an Àrd-mhaoir	|	 copies, kept in three different houses in a town the Residency had no cause to visit, could 
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:23	the Company's	->	A' Chompanaidh's	|	mes, every fine and fever and every shift lost to the Company's pits, came in time to know th
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:25	the Residency	->	Taigh an Àrd-mhaoir	|	ad one word for the whole arrangement long before the Residency ever heard of it, called it s
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:27	the three households	->	Na Trì Teaghlaichean	|	gan to fail her past the point of close work, and the three households, needing a hand that could be
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:35	the Administration	->	Riaghaltas nan Coigreach	|	 the copying began, word went round the east that the Administration had ordered a count made of e
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:37	the Residency's	->	Taigh an Àrd-mhaoir's	|	of it reached the cellar the following year among the Residency's other business that the custo
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:37	the Administration's	->	Riaghaltas nan Coigreach's	|	r inland, where the hill villages ran together in the Administration's own maps into districts with 
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:41	the Administration's	->	Riaghaltas nan Coigreach's	|	wn, the roll of a village of forty-one souls that the Administration's own count gave as a round hun
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:43	the Administration	->	Riaghaltas nan Coigreach	|	custodians' letters said, of anywhere closer that the Administration cared to build an office. The
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:49	the Deer	->	Feallsanachd an Fhèidh	|	ld remember hearing otherwise, the last master of the Deer to teach openly in that age: 
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:49	the Residency	->	Taigh an Àrd-mhaoir	|	d listen, as the schools had always taught before the Residency and the Mission between them 
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:49	the Mission	->	Teachdaireachd na h-Eaglaise	|	chools had always taught before the Residency and the Mission between them made open teachi
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:49	a Commissioner's	->	an Àrd-mhaor's	|	ve said, that a philosophy that could not survive a Commissioner's displeasure had never been wo
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:65	the three households	->	Na Trì Teaghlaichean	|	ent north on foot in am Cèitean, with a letter of the three households' own seal and nothing else, f
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:73	the cellar at Muileann chaol	->	Seilear Muileann chaol	|	 took him in for a story of the road, and reached the cellar at Muileann chaol with his feet raw and the che
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:73	the three households	->	Na Trì Teaghlaichean	|	e a seal that was not his to break was no copyist the three households wanted at their table. Fearch
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:83	the three households	->	Na Trì Teaghlaichean	|	in the rolls, here and there, since before any of the three households were born to the work: a birt
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:87	the three households	->	Na Trì Teaghlaichean	|	, late at a table with the peat gone low, whether the three households ought to put a word of their 
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:101	the Company's	->	A' Chompanaidh's	|	, under the wind, Cailean could hear the pumps of the Company's newer galleries lower down th
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:109	the Residency's	->	Taigh an Àrd-mhaoir's	|	ing without a door could not be walked through by the Residency's clerks or the Mission's physi
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:109	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	ot be walked through by the Residency's clerks or the Mission's physicians or anyone else who
CHANGE	eras/age_V/book/30_of_the_cellar_at_muileann_chaol.md:123	the Residency's	->	Taigh an Àrd-mhaoir's	|	at day forward, in the custodians' hand or, where the Residency's clerks required it, in the hu
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:7	the cellar at Muileann chaol	->	Seilear Muileann chaol	|	Cailean mac Eachainn had been two years in the cellar at Muileann chaol before he learned to stop rea
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:9	the three households	->	Na Trì Teaghlaichean	|	son anyone taught him. Seònag Bhàn, the eldest of the three households, told him only that a hand co
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:11	the Residency's	->	Taigh an Àrd-mhaoir's	|	ee others from the eastern custodians whose rolls the Residency's own clerks could not be trust
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:11	the Residency	->	Taigh an Àrd-mhaoir	|	down to Muileann chaol to be made again in a hand the Residency never saw. Àth ìseal was a sm
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:57	The Mason's line	->	Clann a' Chlachair	|	ven at a naming, from the child back to the fire. The Mason's line has kept the years of its dea
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:61	the Company	->	A' Chompanaidh	|	hòr, who stood behind Beathag Dhubh when she sent the Company down the hill;
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:66	the First Flame	->	A' Chiad Lasair	|	> son of Gille-Brìde, who carried a coal of the First Flame home to the hills; and all th
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:70	the Ford of Blood	->	Àth na Fala	|	d in the grove, and who was king until he fell at the Ford of Blood; and all the days of Ailean M
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:73	the Inquisitors of the Mystic Coal	->	Luchd-ceasnachaidh a' Ghuail Dhìomhair	|	> son of Colla, in whose days they called us the Inquisitors of the Mystic Coal; and fifteen fathers;
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:79	the Keeper	->	Coimhdeach na Fine	|	> son of Diarmad, who spoke with the Keeper in the grove; and thirty-four
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:82	the godfolk	->	an Dia-shluagh	|	> son of the godfolk, who grew out of the island l
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:97	The Residency	->	Taigh an Àrd-mhaoir	|	The Residency heard of the word the custodi
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:97	the Residency	->	Taigh an Àrd-mhaoir	|	ord the custodians had agreed within the year, as the Residency heard most things that were s
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:97	the three households	->	Na Trì Teaghlaichean	|	s, though by what road neither the custodians nor the three households of the cellar ever learned. W
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:97	the Administration	->	Riaghaltas nan Coigreach	|	at reached it was not the line, which no clerk of the Administration would have believed if he had
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:99	the Commissioner's	->	An t-Àrd-mhaor's	|	 end of the hundred and twenty-seventh year, over the Commissioner's own seal, and was read out to
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:99	the Commissioner's	->	An t-Àrd-mhaor's	|	ns had lately named was to be reported at once to the Commissioner's office, with the child's name
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:99	the Administration	->	Riaghaltas nan Coigreach	|	 with the child's name, place and parentage, that the Administration might keep its own account of
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:101	the Residency	->	Taigh an Àrd-mhaoir	|	 the physicians had settled on, where no clerk of the Residency thought to look for it. A cus
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:101	a Company agent	->	an agent of A' Chompanaidh	|	 for it. A custodian at Cill ghlas, asked once by a Company agent whether she knew of any such 
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:107	the Residency's	->	Taigh an Àrd-mhaoir's	|	had gone on regardless in a hundred quiet corners the Residency's clerks never fully reached: c
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:107	the Administration	->	Riaghaltas nan Coigreach	|	n the spring of the hundred and twenty-ninth year the Administration struck barter down as lawful 
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:107	the Residency	->	Taigh an Àrd-mhaoir	|	d, their keepers turned to other work. A clerk of the Residency, setting the closure into the
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:107	the Company's	->	A' Chompanaidh's	|	g the closure into the year's account, wrote that the Company's ledgers were now, for the fir
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:109	The Company's	->	A' Chompanaidh's	|	or marks they had not asked for and did not want. The Company's own clerks, coming down to th
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:111	the Company's	->	A' Chompanaidh's	|	n to spare, began borrowing them at interest from the Company's own stores, the only lender w
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:111	the Company	->	A' Chompanaidh	|	rs most of the villages about Muileann chrom owed the Company more marks than a year's crop
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:113	the Company	->	A' Chompanaidh	|	 each other directly since An Aois Naomh, without the Company or the Administration standin
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:113	the Administration	->	Riaghaltas nan Coigreach	|	ectly since An Aois Naomh, without the Company or the Administration standing between them, closed
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:117	the Residency	->	Taigh an Àrd-mhaoir	|	 as having said, near the end, that she had asked the Residency for an answer once, and meant
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:121	The Company	->	A' Chompanaidh	|	lie across his knees at every supper of my life." The Company wrote to confirm her within t
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:121	the Company's	->	A' Chompanaidh's	|	 one another afterward with an expression none of the Company's clerks would have cared to se
CHANGE	eras/age_V/book/31_of_the_line_of_aisling.md:125	the Residency	->	Taigh an Àrd-mhaoir	|	er her name: that somewhere on a roll no clerk of the Residency had ever read, a girl who did
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:7	the Residency	->	Taigh an Àrd-mhaoir	|	Edward Vane died at the Residency above Ros dhomhain late in an
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:7	Commissioner	->	Àrd-mhaor	|	had been born in sixty-two years before, the only Commissioner Dia-thìr ever gave a birth as
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:7	the Residency	->	Taigh an Àrd-mhaoir	|	d himself to feel, and the custodians who came to the Residency in the old form to acknowledg
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:9	the Commissioner's	->	An t-Àrd-mhaor's	|	old, courteously, that they were constables under the Commissioner's own commission, sworn to keep
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:11	the Administration	->	Riaghaltas nan Coigreach	|	"It is the first standing force the Administration has kept here," said Mòrag ni
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:11	Commissioner	->	Àrd-mhaor	|	ad ridden down from Muileann chrom to see the new Commissioner land, more from a wish to loo
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:11	the Company	->	A' Chompanaidh	|	ing anything from it. "A hundred and twenty years the Company kept order with an agent's si
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:13	the Company	->	A' Chompanaidh	|	"A hundred and twenty years the Company had no cause to do otherwise,
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:15	the Company	->	A' Chompanaidh	|	ownsfolk noted without much surprise, from timber the Company had felled and never paid the
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:15	the Company's	->	A' Chompanaidh's	|	and used the money, with a thoroughness that made the Company's agent write two letters of co
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:15	the Company's	->	A' Chompanaidh's	|	n, to buy the village clear of every debt it owed the Company's own store.
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:23	the coal line	->	Slighe a' Ghuail	|	untry behind Baile chrom at nineteen, in the year the coal line opened, following a brother t
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:23	a Company tenant-farmer	->	a tenant-farmer of A' Chompanaidh	|	, and she kept, in the small room she rented from a Company tenant-farmer, a single object of any value
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:25	the Company's	->	A' Chompanaidh's	|	aw a living from the island's own sea rather than the Company's table, and among them an old 
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:31	the Mission	->	Teachdaireachd na h-Eaglaise	|	who've kept it longer than anyone can say, though the Mission would have it we invented it 
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:37	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	 she could not find, at first, the constellations the Mission's calendar named for her. She d
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:39	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	the byre two nights running and told the story at the Mission's rest-day meeting more from wo
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:43	The Mission	->	Teachdaireachd na h-Eaglaise	|	The Mission at Cathair gheal took the mat
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:55	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	and it went, as such letters did, up the chain to the Mission's house at Cathair gheal and fr
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:65	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	 far from its beginning as yours has. I have told the Mission's man at Cathair gheal, though,
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:69	the Company	->	A' Chompanaidh	|	nted out to him at the week's end than for a crop the Company priced after the fact. He wor
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:69	the coal line	->	Slighe a' Ghuail	|	ths, loading the steamships that had begun, since the coal line opened, to carry more coal in
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:71	the Company's	->	A' Chompanaidh's	|	pring of the hundred and thirty-fourth year, that the Company's agent had posted a new tariff
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:79	the Company's	->	A' Chompanaidh's	|	 that spring, a new toll on every ton loaded that the Company's agent said was owed the harbo
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:79	the Company's	->	A' Chompanaidh's	|	r works and the dockers said was owed nothing but the Company's own accounts, and the two peo
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:81	a Company clerk	->	a clerk of A' Chompanaidh	|	"You're mad to stand with them," a Company clerk told Daniel Webb on the secon
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:85	The Company	->	A' Chompanaidh	|	of standing against thirty grey coats might cost. The Company took the names of every human
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:85	the Company's	->	A' Chompanaidh's	|	 once, in a notice read to the men on the quay by the Company's agent himself, courteous and 
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:89	the Residency	->	Taigh an Àrd-mhaoir	|	beside a coal-yard standing full, which no one at the Residency troubled to explain in writin
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:93	the Mission	->	Teachdaireachd na h-Eaglaise	|	thers, the shape of it settled now into something the Mission had stopped writing letters a
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:95	the Residency	->	Taigh an Àrd-mhaoir	|	column, and nothing more, and reported neither to the Residency.
CHANGE	eras/age_V/book/32_of_the_grey_goose_and_the_dockers.md:97	the Residency's	->	Taigh an Àrd-mhaoir's	|	l. The custodians' rolls kept the four names, and the Residency's register, which asked for the
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:13	the Company's	->	A' Chompanaidh's	|	 on his coat and asked, through the clerk who did the Company's Dia-thìris, that no charge be
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:15	the Company	->	A' Chompanaidh	|	ill there, and told them, through the clerk, that the Company had it marked and would keep 
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:25	the cellar at Muileann chaol	->	Seilear Muileann chaol	|	t went unanswered, as such lines mostly did, into the cellar at Muileann chaol with everything else.
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:29	the burial club's	->	Comann an Adhlacaidh's	|	one from outside the family. She kept a room over the burial club's hall, two streets up from the
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:29	the Keeper	->	Coimhdeach na Fine	|	 where another woman might have hung a carving of the Keeper or a sprig of dried heather f
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:35	the burial club	->	Comann an Adhlacaidh	|	It was in that winter, in the room over the burial club, that she was first asked to 
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:35	the Lamp-Watch	->	Faire nan Lòchran	|	hat she was first asked to sit at the table where the Lamp-Watch kept its business. The Lamp-W
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:35	The Lamp-Watch	->	Faire nan Lòchran	|	the table where the Lamp-Watch kept its business. The Lamp-Watch had begun, twenty years and m
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:35	the burial club's	->	Comann an Adhlacaidh's	|	Watch had begun, twenty years and more before, as the burial club's own purse stretched a little 
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:35	the Company's	->	A' Chompanaidh's	|	 the constables, for the passage of a letter that the Company's post would not carry. By the 
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:35	the Company's	->	A' Chompanaidh's	|	 copy its entries into a second book kept nowhere the Company's clerks would think to look, w
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:47	the three households	->	Na Trì Teaghlaichean	|	 chaol, one above the other on the same page, and the three households who copy there have never agr
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:53	a Company clerk	->	a clerk of A' Chompanaidh	|	t the eldest of them, not in the town hall, where a Company clerk sat most days on other busine
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:53	the meeting on the moor road	->	Coinneachadh a' Mhonaidh	|	ever names such things: Coinneachadh a' Mhonaidh, the meeting on the moor road, and the stone has been calle
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:53	(appositive)	->	Coinneachadh a' Mhonaidh	|	dropped the English gloss beside Coinneachadh a' Mhonaidh
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:55	any Company clerk	->	any clerk of A' Chompanaidh	|	r of A' Chompanaidh's setting foot on it, without any Company clerk's hand in its laying out, hou
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:59	the Rending	->	Scàineadh Cill ghlas	|	naill walked to Cill ghlas in the fortnight after the Rending, though there was no house of
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:59	the Lamp-Watch's	->	Faire nan Lòchran's	|	 linen chest. It was the one thing in those years the Lamp-Watch's minutes never held.
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:65	the Company's	->	A' Chompanaidh's	|	 coal, and in the last week of an t-Ògmhios, with the Company's own stores at Seann Toll draw
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:69	the Company's	->	A' Chompanaidh's	|	 up. She was forty-two that year, and had carried the Company's staff, the one her great-gran
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:79	the Residency	->	Taigh an Àrd-mhaoir	|	, on {{date:IV-0275}}, in a long panelled room in the Residency that Mòrag had never before h
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:79	the Company's	->	A' Chompanaidh's	|	dark dress, the one kept for burials, and carried the Company's staff with her into the room,
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:87	the Company's	->	A' Chompanaidh's	|	d copy of the inquiry's minutes, the one made for the Company's own file and not for the Resi
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:87	the Residency's	->	Taigh an Àrd-mhaoir's	|	e one made for the Company's own file and not for the Residency's, was a Dia-thìreach woman of 
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:87	the Lamp-Watch's	->	Faire nan Lòchran's	|	ìreach woman of Ros dhomhain whose brother sat at the Lamp-Watch's table beside Eilidh's own sea
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:87	the burial club	->	Comann an Adhlacaidh	|	 and all, had made its way north to the room over the burial club at Baile thais, folded small 
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:87	the Residency	->	Taigh an Àrd-mhaoir	|	d see exactly what had been said and exactly what the Residency had chosen not to hear.
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:89	the Lamp-Watch's	->	Faire nan Lòchran's	|	She was given a seat of her own at the Lamp-Watch's table that same winter, no lo
CHANGE	eras/age_V/book/33_of_the_rending_of_cill_ghlas.md:93	The Company's	->	A' Chompanaidh's	|	The Company's letter-books show Robert Fair
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:3	the War of the Hills	->	Cogadh nam Beann	|	*Part Six: Of the War of the Hills*
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:11	the burial club's	->	Comann an Adhlacaidh's	|	 she led at the pit-mouth, and to the room behind the burial club's hall where six or seven met a
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:11	a Company roll	->	a roll of A' Chompanaidh	|	ause a thing with no name could not be struck off a Company roll. She had taken her father's p
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:13	The Mission's	->	Teachdaireachd na h-Eaglaise's	|	 carried them up from the hold were coughing too. The Mission's clerk who wrote the entry cal
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:13	the Residency	->	Taigh an Àrd-mhaoir	|	 long experience of fevers and which no one below the Residency could explain. It ran inland 
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:15	the burial club's	->	Comann an Adhlacaidh's	|	s first wage. She sat with them by turns, because the burial club's rule was that no one died wat
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:21	the burial club's	->	Comann an Adhlacaidh's	|	She had kept the burial club's rule of sitting long before i
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:21	the Company's	->	A' Chompanaidh's	|	back to the pit-head within the fortnight because the Company's wage did not wait on a man's 
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:23	the Residency	->	Taigh an Àrd-mhaoir	|	some towns than others for reasons no clerk below the Residency could set down with any confi
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:27	the Administration	->	Riaghaltas nan Coigreach	|	Dùn thais in the last days of an Dùbhlachd, where the Administration had for once sent a physician
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:27	the Mission	->	Teachdaireachd na h-Eaglaise	|	r than leaving the sickness to the custodians and the Mission between them. He took the fev
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:27	the Mission's	->	Teachdaireachd na h-Eaglaise's	|	ating and died of it inside the month, and two of the Mission's nursing sisters with him, in 
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:27	the burial club's	->	Comann an Adhlacaidh's	|	in the book anyway, because the book's rule, like the burial club's, was that a name went in whet
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:37	the Residency's	->	Taigh an Àrd-mhaoir's	|	dh began the thing that would carry her name into the Residency's letter-books whether she wish
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:39	The first petition	->	A' Chiad Athchuinge	|	The first petition, the one drawn up at Ceann àr
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:39	the Residency	->	Taigh an Àrd-mhaoir	|	up at Ceann àrsaidh and carried by Peigi Ghlas to the Residency forty years before, which had
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:41	the burial club's	->	Comann an Adhlacaidh's	|	She drafted the new petition in the burial club's room by a single coal lamp, o
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:41	the Levy	->	An Togail	|	ver years and the drought years before them, what the Levy had cost before that and been
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:41	the Company's	->	A' Chompanaidh's	|	, in tens counted plainly and not rounded the way the Company's own returns rounded them. Not
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:41	the first petition	->	A' Chiad Athchuinge	|	n it was new. Its last line repeated the sentence the first petition had buried in the middle of a
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:41	the Residency's	->	Taigh an Àrd-mhaoir's	|	ad buried in the middle of a long paragraph where the Residency's clerks could read past it wit
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:45	the Company store	->	A' Chompanaidh's store	|	ad kept the post for eleven years and clerked for the Company store besides, out of the same door
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:49	The Company's	->	A' Chompanaidh's	|	The Company's agent at Cnoc dhìreach had th
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:49	the Company's	->	A' Chompanaidh's	|	under that petition was worth to a man who needed the Company's wage to feed a family. Coinne
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:53	Company work	->	A' Chompanaidh's work	|	He was one of eleven signatories who lost Company work that season for the names the
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:55	the Administration	->	Riaghaltas nan Coigreach	|	nly that eleven clerkships were a cheap price for the Administration to pay for silence and a dear
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:57	the Residency	->	Taigh an Àrd-mhaoir	|	he hill camps to the coast, it went up at last to the Residency in a fair copy Eilidh made he
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:57	The Residency's	->	Taigh an Àrd-mhaoir's	|	s name had been put to words she had not written. The Residency's clerk who received it underli
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:57	the humans' Administration	->	Riaghaltas nan Coigreach	|	he custodians afterward agreed was the first sign the humans' Administration had ever given of having read
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:67	the Commissioner's	->	An t-Àrd-mhaor's	|	went round the coal roads that Merriman, who held the Commissioner's seat and had held it, by then
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:69	the Administration's	->	Riaghaltas nan Coigreach's	|	e twenty-fifth of that same Gearran, forty men in the Administration's grey with a wagon of timber a
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:73	Company store	->	A' Chompanaidh's store	|	in the fortnight, walled and barred where the old Company store had stood open on three sides
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:75	the Administration's	->	Riaghaltas nan Coigreach's	|	 on the other, and listened to a paper written in the Administration's flattest hand explain that th
CHANGE	eras/age_V/book/34_of_the_warning_and_the_constables.md:83	the Administration	->	Riaghaltas nan Coigreach	|	n, built to hold two hundred men against a rising the Administration had apparently decided, on th
